0.575,1.324,1.686,0.02,0.009,16.513,0.028,0.443,0.038,0.032,0.016,0.006
0.225,0.711,0.144,0.011,0.015,2.89,0.009,0.134,0.035,0.011,0.015,0.008
,0.153,284.396,0.005,0.004,63.428,0.005,0.207,0.009,0.004,0.005,0.003
0.304,0.104,0.144,0.016,0.019,0.154,0.015,0.099,0.035,0.013,0.015,0.013
0.305,0.067,0.134,0.037,0.029,0.128,0.028,0.101,0.055,0.019,0.019,0.019
11.352,0.109,0.139,0.023,0.027,0.458,0.022,0.105,0.025,0.019,0.019,0.018
2.986,1.275,1.072,0.027,0.032,1.065,0.018,4.048,0.017,0.012,0.011,0.01
0.226,0.259,0.347,0.065,0.072,0.249,0.067,0.211,0.068,0.066,0.052,0.049
10.652,8.504,12.68,7.777,-100.0,14.059,6.299,12.311,6.142,397.766,2.568,1.727
31.138,0.554,0.645,0.006,-100.0,0.163,0.003,1.357,0.009,0.013,0.132,0.318
1.361,0.404,3.91,0.242,-100.0,3.002,0.142,0.273,0.146,0.202,0.475,0.525
1.277,4.734,0.597,0.039,0.086,1.077,0.036,3.677,0.045,0.074,0.128,0.11
5.865,0.127,-100.0,0.114,-100.0,6.236,0.11,6.843,0.102,0.1,0.138,0.146
0.41,0.045,1493.348,0.055,-100.0,1.856,0.035,478.26,0.03,0.027,0.045,0.038
